window,group,pop_i,chunk_i,chunk_j,chunk_k,good_idx_n,i_success_n,j_success_n,ij_success_n,score_k_mean_ij,valid_score,mean_z_i_all,mean_z_j_all,mean_z_k_all,max_z_i_all,max_z_j_all,max_z_k_all,elapsed_sec,status,error,arrays_path
0,null,12,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5880775451660156,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_012/eval_arrays.npz
0,null,13,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.9489402770996094,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_013/eval_arrays.npz
0,null,14,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.0476982593536377,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_014/eval_arrays.npz
0,null,15,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5717377662658691,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_015/eval_arrays.npz
0,null,16,0,1,2,93,0,0,0,nan,False,-0.8758279931381023,-0.7334648359124288,-0.608625709394429,-0.8758279931381023,-0.7334648359124288,-0.608625709394429,1.6159520149230957,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_016/eval_arrays.npz
0,null,17,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5313961505889893,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_017/eval_arrays.npz
0,null,18,0,1,2,93,1,1,1,5.222657644158247,True,5.546591989223265,5.6414537890668734,5.222657644158247,5.546591989223265,5.6414537890668734,5.222657644158247,2.1124818325042725,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_018/eval_arrays.npz
0,null,19,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.780085802078247,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_019/eval_arrays.npz
0,null,20,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.462639808654785,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_020/eval_arrays.npz
0,null,21,0,1,2,93,0,0,0,nan,False,-0.3048949968491302,-1.8047915498541647,0.5146824175579342,-0.3048949968491302,-1.8047915498541647,0.5146824175579342,1.6863117218017578,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_021/eval_arrays.npz
0,null,22,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.1202609539031982,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_022/eval_arrays.npz
0,null,23,0,1,2,93,1,1,1,4.153051267830106,True,4.708873069857484,5.292832115114872,4.153051267830106,4.708873069857484,5.292832115114872,4.153051267830106,2.208887815475464,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_023/eval_arrays.npz
0,null,24,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.8028573989868164,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_024/eval_arrays.npz
0,null,25,0,1,2,93,0,0,0,nan,False,-5.888060604074898,-6.037355278488947,-4.176245193706813,-5.888060604074898,-6.037355278488947,-4.176245193706813,1.6434733867645264,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_025/eval_arrays.npz
0,null,26,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.4776585102081299,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_026/eval_arrays.npz
0,null,27,0,1,2,93,1,1,1,3.95918883063049,True,4.196235902807527,5.629598332909476,3.95918883063049,4.196235902807527,5.629598332909476,3.95918883063049,3.0246005058288574,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_027/eval_arrays.npz
0,null,28,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.6231393814086914,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_028/eval_arrays.npz
0,null,29,0,1,2,93,1,1,1,2.9866977239026187,True,3.6762050860446855,3.8782625236454296,2.9866977239026187,3.6762050860446855,3.8782625236454296,2.9866977239026187,1.5129995346069336,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_029/eval_arrays.npz
1,gamma000000,0,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,33.363877058029175,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_000/eval_arrays.npz
1,gamma000000,1,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.7619819641113281,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_001/eval_arrays.npz
1,gamma000000,2,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5539233684539795,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_002/eval_arrays.npz
1,gamma000000,3,1,2,3,93,0,0,0,nan,False,0.7549492367436177,0.03438428356188074,-0.32351911435262454,0.7549492367436177,0.03438428356188074,-0.32351911435262454,1.1214599609375,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_003/eval_arrays.npz
1,gamma000000,4,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,3.5639281272888184,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_004/eval_arrays.npz
1,gamma000000,5,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.7934017181396484,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_005/eval_arrays.npz
1,gamma000000,6,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.6863117218017578,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_006/eval_arrays.npz
1,gamma000000,7,1,2,3,93,1,1,1,4.2662256296770735,True,-0.17010323008656444,0.30688050100816827,1.1085768106520744,3.389671505972115,2.7125564588229456,4.2662256296770735,2.3686511516571045,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_007/eval_arrays.npz
1,gamma000000,8,1,2,3,93,6,6,6,5.379511066876266,True,-0.43906308157272944,0.006671494096040398,-0.19522416888523897,6.4043584474428945,5.321721433759611,5.691106452976362,3.0534145832061768,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_008/eval_arrays.npz
1,gamma000000,9,1,2,3,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.6876695156097412,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_001/gamma000000/pop_009/eval_arrays.npz
