time,pid,rss_gb,vms_gb,child_count,child_rss_gb,system_mem_percent,swap_percent,threads,fds,open_files,disk_free_gb,gpu_used_mb,gpu_total_mb,gpu_util_percent,tmp_files__tmp,tmp_gb__tmp,tmp_files_._tmp,tmp_gb_._tmp,tmp_files_._streamlit_tmp,tmp_gb_._streamlit_tmp
2026-05-08 13:14:38,18016,1.2151,2.8101,0,0.0,93.0,93.4,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:14:43,18016,1.2173,2.813,0,0.0,93.0,93.4,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:14:49,18016,1.2058,2.814,0,0.0,93.2,95.0,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:14:54,18016,1.1641,2.8159,0,0.0,92.2,98.1,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:00,18016,1.2018,2.8179,0,0.0,93.2,98.1,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:05,18016,1.2038,2.8198,0,0.0,93.4,99.0,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:11,18016,1.2073,2.8237,0,0.0,93.6,99.0,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:16,18016,1.0896,2.7052,0,0.0,90.5,99.0,14,10,3,905.2916,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:21,18016,1.0896,2.7052,0,0.0,90.6,99.0,14,10,3,905.291,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:27,18016,1.1209,2.7364,0,0.0,91.6,99.0,14,11,4,905.293,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:32,18016,1.0867,2.7023,0,0.0,90.5,99.0,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:37,18016,1.2144,2.8306,0,0.0,94.1,99.0,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:43,18016,1.2819,2.8989,0,0.0,95.2,99.1,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:48,18016,1.2847,2.9019,0,0.0,95.3,99.2,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:54,18016,1.285,2.9029,0,0.0,95.5,99.2,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:15:59,18016,1.2848,2.9029,0,0.0,95.5,99.2,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:04,18016,1.2859,2.9048,0,0.0,95.3,99.2,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:10,18016,1.2876,2.9068,0,0.0,95.6,99.2,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:16,18016,1.2896,2.9077,0,0.0,95.7,99.2,14,10,3,905.2894,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:21,18016,1.1598,2.7774,0,0.0,92.1,99.2,14,10,3,905.2893,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:27,18016,1.1598,2.7774,0,0.0,92.2,99.2,14,10,3,905.2886,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:32,18016,1.191,2.8087,0,0.0,92.9,99.2,14,11,4,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:37,18016,1.1216,2.7392,0,0.0,90.9,99.2,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:43,18016,1.2425,2.8609,0,0.0,95.0,99.2,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:48,18016,1.3587,2.979,0,0.0,97.0,99.8,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:16:54,18016,1.3631,2.9868,0,0.0,96.6,99.8,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:17:00,18016,1.3648,2.9888,0,0.0,97.1,99.8,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:17:05,18016,1.3661,2.9907,0,0.0,97.0,99.8,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:17:11,18016,1.366,2.9917,0,0.0,97.1,100.0,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:17:16,18016,1.3675,2.9927,0,0.0,97.2,100.0,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:17:22,18016,1.3688,2.9937,0,0.0,97.1,100.0,14,10,3,905.287,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:17:28,18016,1.2452,2.8702,0,0.0,93.9,100.0,14,10,3,905.2869,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
